,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
223,Mark Campbell,BUF,TE,30,17,203,11.9,5,11,1.4,16.9,56.7%,6.8,,,,0,,,,17,11.9,203,5,1
224,James Thrash,WAS,,21,17,203,11.9,0,10,1.1,12.7,81.0%,9.7,,,,0,,,,17,11.9,203,0,0
225,Karl Williams,ARI,,30,18,197,10.9,0,10,1.2,13.1,60.0%,6.6,2,6,0,1,3.0,0.4,0.1,20,10.2,203,0,4
226,Willie Parker,PIT,,7,3,16,5.3,0,0,0.4,2.0,42.9%,2.3,32,186,0,9,5.8,23.3,4.0,35,5.8,202,0,0
227,Jake Plummer,DEN,QB,0,0,0,,0,0,0.0,0.0,0.0%,,62,202,1,16,3.3,12.6,3.9,62,3.3,202,1,6
228,Matt Schobel,CIN,,33,21,201,9.6,4,10,1.3,12.6,63.6%,6.1,,,,0,,,,21,9.6,201,4,1
229,Tim Brown,TAM,,31,24,200,8.3,1,8,1.6,13.3,77.4%,6.5,,,,0,,,,24,8.3,200,1,2
230,Greg Lewis,PHI,,37,17,183,10.8,0,11,1.1,11.4,45.9%,4.9,4,16,0,1,4.0,1.0,0.3,21,9.5,199,0,0
231,Dwayne Carswell,DEN,TE,36,22,198,9.0,1,10,1.5,13.2,61.1%,5.5,,,,0,,,,22,9.0,198,1,0
232,Christian Fauria,NWE,te,20,16,195,12.2,2,9,1.0,12.2,80.0%,9.8,,,,0,,,,16,12.2,195,2,0
233,Justin Fargas,OAK,,14,11,68,6.2,0,3,0.9,5.7,78.6%,4.9,35,126,1,9,3.6,10.5,2.9,46,4.2,194,1,1
234,Erron Kinney,TEN,TE,30,25,193,7.7,3,14,2.8,21.4,83.3%,6.4,,,,0,,,,25,7.7,193,3,0
235,Chris Horn,KAN,,27,15,178,11.9,1,10,1.1,12.7,55.6%,6.6,1,12,0,1,12.0,0.9,0.1,16,11.9,190,1,0
236,Kyle Boller,BAL,QB,0,0,0,,0,0,0.0,0.0,0.0%,,53,189,1,12,3.6,11.8,3.3,53,3.6,189,1,11
237,Ron Dayne,NYG,,4,1,7,7.0,0,0,0.1,0.5,25.0%,1.8,52,179,1,10,3.4,12.8,3.7,53,3.5,186,1,0
